ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,AdditionalComments,ChannelType,SiteNumber,tbl_ShinerSubstrate_Season,Muck,Detritus,Silt,Sand,Pea_gravel,Coarse_gravel,Cobble,Boulder,Bedrock,Hardpan_shale
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2015Aug30,2015,8/30/2015 0:00:00,9/2/2015 0:00:00,TAPRShiner2015Sep02,2015,9/2/2015 0:00:00,9/2/2015 0:00:00,,main,1,2015,6,3,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2015Aug30,2015,8/30/2015 0:00:00,9/2/2015 0:00:00,TAPRShiner2015Sep02,2015,9/2/2015 0:00:00,9/2/2015 0:00:00,,main,2,2015,6,3,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2015Aug30,2015,8/30/2015 0:00:00,9/2/2015 0:00:00,TAPRShiner2015Sep02,2015,9/2/2015 0:00:00,9/2/2015 0:00:00,,main,3,2015,6,3,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2018Sep04,2018,9/4/2018 0:00:00,9/7/2018 0:00:00,TAPRShiner2018Sep07,2018,9/7/2018 0:00:00,9/7/2018 0:00:00,,main,1,2018,6,3,0,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2018Sep04,2018,9/4/2018 0:00:00,9/7/2018 0:00:00,TAPRShiner2018Sep07,2018,9/7/2018 0:00:00,9/7/2018 0:00:00,,main,2,2018,6,3,0,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2018Sep04,2018,9/4/2018 0:00:00,9/7/2018 0:00:00,TAPRShiner2018Sep07,2018,9/7/2018 0:00:00,9/7/2018 0:00:00,,main,3,2018,6,3,0,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2021Sep07,2021,9/7/2021 0:00:00,9/10/2021 0:00:00,TAPRShiner2021Sep10,2021,9/10/2021 0:00:00,9/10/2021 0:00:00,Streams low. Rained ~5 inches 6 days prior to sampling these sites on 9/10/2021. Suspect streams were very low 6 days previous.,main,1,2021,6,0,0,0,3,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2021Sep07,2021,9/7/2021 0:00:00,9/10/2021 0:00:00,TAPRShiner2021Sep10,2021,9/10/2021 0:00:00,9/10/2021 0:00:00,Streams low. Rained ~5 inches 6 days prior to sampling these sites on 9/10/2021. Suspect streams were very low 6 days previous.,main,2,2021,7,0,0,2,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2021Sep07,2021,9/7/2021 0:00:00,9/10/2021 0:00:00,TAPRShiner2021Sep10,2021,9/10/2021 0:00:00,9/10/2021 0:00:00,Streams low. Rained ~5 inches 6 days prior to sampling these sites on 9/10/2021. Suspect streams were very low 6 days previous.,main,3,2021,7,0,0,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17lower,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Lower,,Chase,,TAPRLOW17,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct01,2002,10/1/2002 0:00:00,10/1/2002 0:00:00,,main,1,2002,0,0,5,0,3,4,0,0,0,0
