geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
WICR23	37.099431	37.099431	-93.407276	-93.407276
WICR20	37.10197	37.10197	-93.410472	-93.410472
WICR17	37.104508	37.104508	-93.413669	-93.413669
WICR24	37.099453	37.099453	-93.40091	-93.40091
WICR21	37.101992	37.101992	-93.404106	-93.404106
WICR18	37.10453	37.10453	-93.407303	-93.407303
WICR15	37.107069	37.107069	-93.4105	-93.4105
WICR12	37.109607	37.109607	-93.413697	-93.413697
WICR9	37.112146	37.112146	-93.416894	-93.416894
WICR5	37.114684	37.114684	-93.420092	-93.420092
WICR19	37.104552	37.104552	-93.400937	-93.400937
WICR16	37.107091	37.107091	-93.404133	-93.404133
WICR13	37.109629	37.109629	-93.40733	-93.40733
WICR10	37.112168	37.112168	-93.410527	-93.410527
WICR6	37.114706	37.114706	-93.413725	-93.413725
WICR2	37.117245	37.117245	-93.416922	-93.416922
WICR1	37.119783	37.119783	-93.42012	-93.42012
WICR14	37.109651	37.109651	-93.400964	-93.400964
WICR11	37.11219	37.11219	-93.404161	-93.404161
WICR7	37.114728	37.114728	-93.407358	-93.407358
WICR3	37.117267	37.117267	-93.410555	-93.410555
WICR8	37.11475	37.11475	-93.40099	-93.40099
WICR4	37.117289	37.117289	-93.404188	-93.404188
WICR38	37.081528	37.081528	-93.423091	-93.423091
